Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
36500,1603115,1103894,1699030,135980,155389,82183,57334,705678728,366872,311258,61298,299674758,586964,370512907,65163,904272088,82579,2445838972,51338,2422808760,610147067
36750,1528118,1185554,802741,126301,146780,68723,59436,805399450,386102,264487,61229,245173730,183423,372344240,62328,929510580,99241,2502773890,50096,2451875372,607964997
37000,1620512,1327701,789734,181217,158063,61713,57464,906976773,356134,262132,61204,299956838,202157,368207877,63313,1000026854,80439,2566987789,50516,2594901514,634025696
37250,1639843,1125003,800604,125536,145379,57902,57715,862759045,344170,306224,60734,433716498,161848,373287471,62545,923795623,102400,2512557999,49119,2474249196,614878010
37500,1500728,1205017,533443,149176,133467,57457,70614,732522610,334492,287615,60626,339493363,160501,380767027,62361,962559408,84258,2539771552,49717,2497638983,620658827
37750,1594864,1192824,825543,126851,130899,56105,60158,783529647,377950,259489,61442,323991375,157694,397472404,62240,958156268,82030,2564372927,49175,2518287710,632436526
38000,1612430,1127890,812005,127391,137292,80345,60394,736975917,329845,256465,60082,488984408,162227,399561732,69430,920045055,79486,2609394458,49469,2635525667,629711308
38250,1518878,1134425,864345,126981,150945,59598,63020,770027708,338513,277342,61432,534797327,325648,386045306,59277,918116149,84702,2580749947,47831,2550232212,633727559
38500,1708310,1266583,803642,124200,163345,56641,60011,791818781,354445,298916,76205,540096587,178648,383245522,64753,913313752,81398,2588647277,48584,2561125393,640593628
38750,1571486,1233152,813083,123204,136856,56212,58499,864905393,377840,315359,62066,583800389,151867,401636190,66349,934907185,77870,2621454959,47336,2572579842,643937486
39000,1564497,1132970,814635,122421,127021,55235,58246,827929114,361518,254829,62780,700460232,181955,413674918,62441,940529419,80365,2644677564,49631,2642243302,665429642
39250,1600679,1120055,801656,148368,161243,56772,60242,799906557,351797,258729,62231,480539974,178287,410839277,63016,955177053,78421,2629286013,51498,2615866811,652131014
39500,1709036,1241356,911922,126006,138894,52225,79387,776473886,341676,277766,72256,483351272,152095,419784525,60886,981699159,81583,2666767357,52218,2636314972,652029981
39750,1535087,1221388,822200,128898,123648,61147,60013,910301588,448701,290212,60251,510835899,151669,421336223,61153,1012819487,80223,2691047137,50503,2663529470,658495264
40000,1653664,1133697,800341,139240,126908,52675,84287,961644387,431068,276370,71905,703183684,154606,400774323,61139,1024557702,79523,2719616928,48554,2658221738,669256719
40250,1623713,1266947,787397,126405,128176,52179,62277,993880436,363551,297651,61055,554432682,161739,424007018,63208,970568383,80984,2725192549,50428,2691927144,671212527
40500,1518721,902649,859550,124599,135067,53022,60816,962635086,343384,297078,60228,686988942,174194,429024507,64210,975097860,80947,2737439283,50048,2701679055,673003171
40750,1573167,986341,797043,124092,129305,52661,58354,896801069,341116,261121,60682,722169599,159311,416895143,70928,1000105679,79962,2747330953,52654,2728899890,715996238
41000,1615546,1178618,787797,126262,131670,51246,58308,809676633,348448,257007,60916,571953022,157460,430156423,65258,975643549,79261,2762055401,59179,2748624823,680666475
41250,1628193,1207111,882263,128065,131412,53157,71454,896452229,359623,265299,60702,660604998,168329,434791507,63361,991736162,80977,2804802765,65308,2751673062,695987802
41500,1963006,1241585,824609,129673,135622,53042,58895,939838052,349636,319872,60315,645106392,158788,456898152,63140,1002520746,82221,2808263740,53307,2777339756,692011277
41750,2193683,1150474,828916,127179,141692,52416,76502,961722411,347245,275288,60609,564068492,165444,452014519,64723,1033408781,77017,2847414762,52625,2790658434,710295532
42000,1731544,1256111,791207,129028,153440,53449,68894,965126482,402832,249090,60117,551681858,164905,443789740,60440,1046966813,83431,2841891329,53858,3002189263,712300103
42250,1673334,1125131,826069,128816,138969,52380,61731,958714761,375498,246044,60159,525685123,159655,479013481,61593,1099256694,79545,2896024916,50219,2824067427,719462674
42500,1571171,1127473,835085,127209,150881,53085,57598,1014682449,352435,273387,60863,443068073,170847,453063166,62979,1053348479,81388,2920293641,49223,2839590726,718246733
42750,1746497,1186288,788421,127049,149450,53592,58972,1030253860,349004,289071,60300,404092855,158904,473436566,61060,1052539736,82093,2940359478,48734,2857188121,721671871
43000,1590725,1254971,800885,127193,138982,53068,59783,1051524284,359398,258482,77923,523700922,183900,461157046,64864,1043893483,92572,2905343812,50026,2962663032,718844428
43250,1659545,1196157,791830,130343,142087,53724,59163,1047078485,378447,277716,60769,464657573,159467,475355857,64499,1068183519,90323,2932292116,49752,2888104633,715905116
